sentimen,ulasan
Negatif,"Dimana kita mulai?

Setelah ditawari pekerjaan yang Anda sadari dengan cepat, Anda telah diberi posisi di departemen kambing hitam yang terlalu banyak bekerja.

Bayar varian- sangat besar di antara kami beberapa admin.Meskipun ini sangat rahasia, Anda tidak seharusnya membahas apa yang Anda bayar.Jika Anda dibayar lebih dari ambang batas, Anda dibebani dengan tanggung jawab itu sepanjang karier Anda.Tidak ada kenaikan gaji, kenaikan tahunan bahkan jika Anda dipromosikan!Itu menjadi kesalahan Anda seseorang benar -benar membayar Anda upah yang layak.

Anda hanya nomor, mudah diganti dan tidak dihargai.

Jangan pernah bertentangan dengan keuntungan- Anda akan menjadi pembelot bermerek sepanjang karier Anda.Umpan balik atau menunjukkan area perbaikan bertentangan dengan rezim totaliter.

Orang baik pergi atau menghilang secara acak- itu sering terjadi!

Volume yang terlalu banyak bekerja adalah melalui atap.Tidak ada manajemen senior yang memiliki konsep tingkat pekerjaan yang dialami tim.Menjadi sangat jelas ketika orang pergi dan digantikan dengan dua orang (melakukan posisi mereka), berapa banyak yang sebenarnya mereka kontribusikan.Tetapi untuk manajemen senior Anda hanya nomor, mudah diganti, mereka tidak peduli!

Goodwill diterima begitu saja. AJ Neraka percaya Anda harus dengan bebas memberikan ini dan sangat bergantung pada hal ini sehingga orang -orang terbakar dengan sangat cepat.Meskipun niat baik mereka tidak pernah dibagikan.

Badut manajemen senior di ruang dewan, puncak dari statistik MI yang dibuat untuk mengembang ego mereka sendiri!Sementara dewan bertepuk tangan dan kebenaran tentang departemen mereka tersapu di bawah karpet.

Lembur- Anda tidak akan dibayar.Di sinilah Anda secara paksa mengajukan diri untuk membantu orang -orang kaya AJ neraka menjadi lebih kaya.Ingatlah melakukan bit Anda untuk layanan masyarakat perusahaan di sini!

Jangan menghargai atau mengenali layanan Anda- satu orang tampaknya mendapat gambaran berbingkai dari mereka karena bekerja di sana 15 tahun.Saya yakin cermin akan cukup memadai.Yang lain mengatakan mereka mendapatkan sandwich yang dibuat oleh direktur untuk peringatan 10 tahun mereka dan dilakukan untuk makan siang bersama mereka.Semua pengalaman mendebarkan yang saya harap.

Perusahaan Terbaik- Sangat berharga tentang ini.Sekitar sebulan sebelum rilis para pemimpin/ manajemen tim survei berubah menjadi Gollum yang rusak oleh skor untuk daerah mereka.Manajer memberi Anda biskuit dan membiarkan Anda duduk di meja mereka saat menyelesaikan survei.Seperti itulah aspirasi Anda dalam hidup!

Pergi untuk promosi sangat mirip dengan dinilai di Cruffs.Mereka menilai Anda pada penampilan Anda, bagaimana Anda berparade di sekitar kantor dan seberapa patuh Anda bagi mereka.

Sistem TI pada dasarnya hanyalah komputer Fisher Price.Saya pernah menyebutnya karena semua bank meja tidak mau masuk.Saya diberitahu untuk mengirim email ke screenshot ini ke Layanan Meja!

Sukarelawan dan mengumpulkan uang - selalu kegiatan sukarela tetapi beberapa cara mengumpulkan uang agak kumuh.Saya tidak pernah menjadi penggemar duduk di pangkuan Santa (sutradara) dan membayarnya untuk hak istimewa dari pantat saya yang berhubungan dengan kakinya, kemudian menerima cokelat perayaan sebagai hadiah untuk upaya saya.

Freebies- Kami biasa mendapatkan telur Paskah setiap tahun, setelah menjadi waktu PLC sulit dan beberapa telur creme tersebar di antara departemen, dengan cara jenis benih burung.

HR - Tidak ada manusia tentang mereka, juga tidak memiliki sumber daya untuk benar -benar melakukan apa pun.Ini pada dasarnya dilakukan seperti yang saya katakan tidak seperti saya."
Negatif,"- Manajemen memiliki jumlah perawatan yang paling minim untuk karyawan, satu -satunya kekhawatiran mereka adalah memenuhi target.Ini mungkin baik-baik saja dalam jangka pendek, tetapi Anda akan merasa lebih sulit untuk mempertahankan staf yang baik.
- Bayarannya jauh di bawah apa yang seharusnya, pekerjaannya sulit dan dapat terdiri dari berjam -jam, harap hanya pertimbangkan AJ Bell jika Anda mencari batu loncatan ke dalam keuangan, jika tidak, cari di suatu tempat dengan gaji yang lebih baik dan lebih baikmanfaat.
- Jangan berharap untuk menerima pengakuan apa pun untuk kerja keras Anda, tetapi berharap menjadi kambing hitam ketika ada yang salah."
Negatif,"Terlalu banyak bekerja, dibayar rendah. 

Manajemen yang buruk. 

Staf Burnout karena kekurangan staf, lembur wajib dan terlalu banyak bisnis. 

Tidak bisa mendapatkan staf yang cukup cepat untuk berapa banyak orang yang pergi jadi tarik orang dari tim lain. 

Tidak ada kekhawatiran terhadap kesehatan mental atau kesejahteraan kecuali mereka dapat menulis blog tentang hal itu untuk dibagikan di intranet atau di depan umum. 

Hampir tidak mengikuti pedoman pemerintah untuk Covid dibandingkan dengan perusahaan perusahaan lainnya. 

SDM bertindak seolah -olah ada di pihak Anda tetapi hanya ada di sana untuk menemukan celah untuk membuat masalah Anda masalah Anda dan bukan AJ Bells

Manajer dan TLS tidak mendengarkan staf mereka ketika menawarkan saran untuk meringankan beban kerja."
Negatif,"Manajemen Senior, Perencanaan, Sistem, SDM, Bayar Kesenjangan, Bullying"
Positif,"Kolega sangat ramah, lingkungan sosial
Banyak dukungan dari manajemen dan CEO kami selama situasi Covid, terasa sangat nyaman dan aman dalam pekerjaan saya
Manfaat yang Baik, seperti Tunjangan Liburan yang Layak, Dukungan Kesehatan Mental, Minuman Hari Bayar dan Acara Sosial/Amal
Great Office Space, Gym Inc, ruang makan dan teras atap"
Positif,"Minuman Payday Bulanan (pada hari Jumat terakhir bulan itu yang tidak selalu gajian)
Pesta Musim Panas & Musim Dingin
Skema bonus dua tahunan
Di gym situs

Dari perspektif sosial, itu brilian"
Positif,"Manfaat sosial yang luar biasa termasuk minuman hari pembayaran dan acara sosial dan amal
Ruang kantor yang bagus termasuk di gym situs dengan kelas dan fasilitas yang berubah
Banyak pelatihan dan peluang pengembangan pribadi 
Fleksibilitas dengan pengaturan kerja pasca covid"
Positif,"Lingkungan yang mendukung - Manajer/pemimpin tim selalu ada untuk membantu, mendengarkan kekhawatiran dan mempromosikan pengembangan.
Manfaat Sosial yang Baik - Saya telah menghadiri banyak acara sosial sepanjang waktu saya di sini & bahkan melalui Covid kami telah mengadakan kelas koktail virtual & sesi memasak.
Keamanan pekerjaan
Kantor modern yang bagus & fasilitas yang bagus
Bonus dua tahunan
Liburan bagus & kami memiliki opsi untuk membeli atau menjual yang membantu fleksibilitas sepanjang tahun"
Positif,"Banyak perubahan, orang yang serba cepat, ramah, sangat sibuk, banyak pertumbuhan !!"
Positif,"Orang -orang yang baik, manajemen yang peduli, kantor yang luar biasa (dengan gym dan teras atap!) Dan pesta terbaik!"
Negatif,"Gaji di bawah tarif pasar eksternal
Manfaat Karyawan Perlu Peningkatan E.g.Kontribusi pensiun majikan
Peluang terbatas untuk orang berpengalaman
Budaya Kerja Manajemen Mikro
Tidak ada kerja flexi-time yang tersedia
Cuti tahunan minimum hukum"
Positif,Banyak peluang untuk pengembangan karir
Negatif,"Perkembangan.Ya, Anda dapat maju jika wajah Anda cocok dan Anda tidak setuju dengan keputusan dari atas.Mereka memiliki kebiasaan mempromosikan beberapa orang jahat yang mengejutkan kepada manajer hanya karena wajah mereka cocok, apalagi apakah mereka benar -benar dapat melakukan peran itu.Ini tidak terjadi di semua departemen tetapi hanya mayoritas terutama layanan pelanggan.Orang -orang telah diberitahu langsung untuk tidak mengajukan promosi karena mereka menginginkan kandidat eksternal tetapi kemudian mempekerjakan seseorang internal seminggu setelahnya. 

Pergi yang adil.Perusahaan saat ini menggunakan retribusi pemerintah untuk magang dan ini termasuk pemimpin tim dan kursus manajemen.Diajukan untuk kursus ini adalah oleh kepala departemen.Ini adalah cara yang sangat tidak adil untuk melakukannya karena apa yang oleh kepala departemen melihat manajer VS atau pemimpin tim sangat berbeda.Sekali lagi ini adalah masalah yang cocok untuk wajah.  

kurangnya dukungan.Ada sangat sedikit dukungan apakah itu dengan kesehatan mental (ada kesehatan mental First Aiders tetapi ini tidak banyak digunakan atau dipromosikan), masalah dengan anggota tim (memungkinkan anggota tim menjadi negatif dan mengganggu tanpa konsekuensi. Sebagian besarWaktu yang mereka pikir lebih mudah untuk mengabaikan masalah ini) atau kualifikasi eksternal (magang dimaksudkan untuk berada di tempat kerja namun ada sangat sedikit waktu yang dialokasikan untuk membantu mereka berlalu).Jika Anda memiliki masalah, mereka hanya tersapu di bawah permadani. 

bonus dan bayar.Pada dasarnya Anda mendapatkan apa yang menurut manajer Anda layak.Jika mereka tidak menyukai Anda (sekali lagi wajah Anda tidak cocok), mereka akan menghukum Anda menggunakan bonus dan membayar.Anda bisa bekerja di belakang sepanjang tahun dan Anda tidak akan mendapatkan apa pun sementara orang yang mengganggu akan mendapatkan bonus yang indah dan membayar naik karena manajer tidak dapat menangani sakit telinga.Bonus tidak dinilai secara adil dan mereka memvariasikan departemen berdasarkan departemen. 

Kontribusi pensiun yang buruk.Mempertimbangkan bahwa AJ Bell adalah perusahaan pensiun dan telah memenangkan beberapa penghargaan industri, kontribusi pensiun mengejutkan. 

Beberapa anggota SDM dan belajar perkembangan sangat mendukung tetapi tangan mereka terikat. 

Semua dalam semua itu bukan tempat yang mengerikan untuk bekerja dan saya telah bekerja di tempat terburuk."
Negatif,"- Gaji kencing.Jelas mengambil keuntungan dari pekerja muda yang tidak tahu lebih baik.Tidak ada pembayaran di seluruh papan dalam setahun dengan rekor keuntungan, mencatat pertumbuhan klien dan catatan dividen pemegang saham.
- Manajemen keras kepala tidak menyambut kreativitas atau ide -ide baru - semuanya
- Sumber daya yang tidak mencukupi untuk menyelesaikan pekerjaan dalam perjanjian tingkat layanan.Menyetujui anggaran untuk meningkatkan jumlah karyawan terjadi di tempat gletser di mana tim sudah jauh di belakang.Tempat tampaknya dijalankan oleh penghitung kacang pelit yang tidak menyadari bahwa pertumbuhan klien yang eksplosif akan membutuhkan peningkatan jumlah jumlah yang serupa.
- Manajemen tidak mendengarkan kekhawatiran karyawan yang valid dan lebih suka menutup sudut pandang karyawan yang keluar dari skrip
- Beberapa peluang untuk kemajuan yang berarti kecuali jika Anda bersedia melekat pada jalan Anda ke atas
- Jam kerja yang panjang (8.45 - 5.15, mengapa tidak bisa menjadi 9-5?)"
Positif,Perusahaan melakukan banyak hal untuk memastikan staf terlibat dan peluang kariernya fantastis
Negatif,"Bayar yang buruk, pencocokan pensiun yang buruk mengingat pensiun adalah sebagian besar bisnis, banyak departemen kekurangan staf dan ada tekanan pada individu untuk menutupi kekurangan daripada memberi tim tenaga kerja tambahan yang mereka butuhkan."
Negatif,Perusahaan yang mengerikan untuk bekerja
Negatif,Bayar dan peluang adalah sampah
Negatif,Manajemen - Kurangnya fokus pada kerja keras.Sistem teman adalah satu -satunya cara untuk membuat kemajuan.
Negatif,"- AJ Bell suka mempekerjakan anak -anak yang baru keluar dari uni atau dari pekerjaan pertama mereka di toko sepatu tanpa pengalaman finansial.Ini dikombinasikan dengan turn over staf yang sangat tinggi berarti tidak ada yang tahu apa yang mereka lakukan, kesalahan terus dilakukan dan beban kerja menumpuk untuk beberapa anggota staf yang berpengalaman untuk berurusan dengan.
- AJ Bell memastikan bahwa Anda hanya dapat maju jika Anda memiliki hubungan perkawinan dengan salah satu manajer, atau jika mereka ingin memiliki hubungan perkawinan dengan Anda.Kerja keras tidak dikenali atau dihargai.
- Tampaknya intimidasi diterima secara luas di seluruh perusahaan karena tim SDM sama sekali tidak memiliki kekuatan atau tujuan.Jika keluhan anonim dibuat tentang manajer tertentu maka itu akan selalu kembali kepada mereka & memperburuk situasinya.Tidak ada konsekuensi terhadap tindakan mereka sampai anggota staf yang diintimidasi memutuskan bahwa mereka tidak memiliki pilihan selain pergi.
- Para direktur hanya peduli tentang melapisi kantong dan citra perusahaan mereka untuk melindungi harga saham mereka - ada dorongan besar setiap tahun untuk memastikan survei perusahaan membantu mereka mencapai daftar 100 perusahaan teratas, dan jika anggota staf meninggalkan ulasan yang buruk maka merekaPara pemimpin tim dihukum dengan bonus tahunan mereka diambil.
- Meskipun staf wajib menghadiri pertemuan dua tahunan yang dimiliki direktur untuk membanggakan peningkatan pertumbuhan dan keuntungan, kenaikan gaji ditolak pada tahun 2020 untuk mayoritas staf (selain dari manajemen atas)."
Negatif,"Jam yang sangat panjang untuk sektor ini (70+ tidak jarang) dan stres yang diciptakan oleh ekspektasi kinerja yang curam dengan sedikit sumber daya yang tersedia untuk menjalankan operasi.ALDI adalah pemutusan harga yang luar biasa untuk kualitas tetapi mencapai ini dalam beberapa cara, paling tidak dengan menjaga tingkat staf sangat rendah dan mendorong tingkat produktivitas ke level yang tidak terlihat di tempat lain. 

Ini semua terdengar bagus, tetapi pada kenyataannya itu membuat lingkungan kerja yang sulit di mana jam Anda menebus kurangnya kolega - penghematan biaya yang nyaman bagi perusahaan, yang mempekerjakan orang yang termotivasi dengan baik untuk mencapai hal ini.Di level toko jeda sering tidak diambil, atau tidak bisa diambil jika toko terlalu sibuk karena tidak ada cadangan.Beberapa toko mungkin dikelola oleh hanya dua orang dan keduanya mungkin diperlukan pada tunai tunai jika toko sibuk, merugikan semua tugas lain yang perlu dilakukan di toko.Ini menyenangkan dan buzz untuk memulai tetapi hal yang menyenangkan karena kenyataan kehidupan kerja Anda meresap!Omset staf luar biasa - baik pemilihan diri maupun dengan kapak bagi mereka yang tidak dapat mengimbangi.

Di tingkat Area atau Manajer Distrik, orang -orang yang tertarik, ambisius, dan termotivasi dipilih untuk bergabung dengan program pelatihan dengan wortel yang sehat dari peluang promosi dan pemukulan sektor gaji.Jika Anda tertarik dengan ini, lakukan sedikit uji tuntas sebelum menerima!Bayar pemukulan sektor datang dalam kenaikan tahunan - itu tidak dimulai dengan fantastis.Ini memberi ALDI kesempatan untuk memeriksa peran Anda terlebih dahulu.Cukup adil?Manajer Area dalam Pelatihan digunakan untuk menjalankan toko dalam persiapan promosi mereka menjadi manajer area terlatih - ini memberi ALDI sumber daya fantastis pendorong ambisius untuk digunakan untuk menjalankan toko yang sulit dan sering gagal dengan harga kurang dari harga manajer toko yang terlatih sepenuhnya terlatih.Manfaat perusahaan tambahan adalah bahwa AM dalam pelatihan secara sukarela bekerja setiap jam yang diperlukan (manajer toko sering tidak - memperhatikan undang -undang ketenagakerjaan!) Untuk menjalankan toko mereka dan akan melakukan perjalanan ke mana pun perusahaan mengharuskan mereka untuk bekerja tanpa keluhan tidak seperti manajer toko.Namun, kesetiaan adalah salah satu cara - sejumlah besar manajer area dalam pelatihan diperlukan pada tahap apa pun untuk mengisi peran di toko -toko dan karena sedikit yang akan membuat nilai.Beberapa dari asupan apa pun akan membuat manajer area penuh dan beberapa dari grup ini akan dipromosikan menjadi Direktur tepat waktu.Namun sisanya biasanya 'pergi' setelah beberapa tahun memberikan peluang kemajuan untuk kelompok bakat kerja keras yang ambisius berikutnya.

Dalam 3 tahun saya, saya melihat lebih dari 30 orang datang dan pergi ke posisi 10 posisi manajer area.Petunjuknya adalah seberapa sering ALDI beriklan di halaman perekrutan untuk peran ini!"
Negatif,"Kerja yang sangat keras dengan kadang -kadang jauh dari target waktu kerja yang realistis.Beruntung bisa istirahat, pada shift 11 jam Anda akan beruntung mendapatkan 15-20 menit, di mana Anda mungkin dipanggil kembali ke lantai toko.Manajemen tidak menghormati staf dan berbicara kepada Anda seperti sampah.Tidak ada jam yang ditetapkan.Perubahan Rota kadang -kadang 24 jam sebelum shift, bahkan ketika Anda rota untuk hari libur.Tidak pernah selesai tepat waktu, dan sepertinya tidak pernah bisa merencanakan kehidupan sosial.Manajemen mengancam Anda dengan kemungkinan bahwa Anda akan kehilangan pekerjaan hampir terus -menerus, daripada memberi Anda nasihat ramah untuk membuat Anda tetap positif"
Negatif,"Jam yang panjang dan seringkali tidak dapat diprediksi, terkadang bekerja tanpa bayaran.Harapan yang sangat tinggi dan kurangnya pemahaman dari kantor pusat.Tidak ada dukungan atau motivasi dari manajemen senior, ancaman terus -menerus dari tindakan disiplin yang diambil.Tidak ada prospek promosi di luar manajer toko (kebijakan perusahaan!)."
Positif,"Tarif gaji yang baik, liburan,"
Positif,"Peluang karier yang serba cepat, besar, gaji besar dan liburan.Saya telah bekerja untuk ALDI selama 12 bulan dan saya telah diangkat menjadi wakil manajer setelah menyatakan minat saya untuk menjadi manajer.Saya sekarang berharap untuk mendapatkan posisi asisten manajer dalam 12 bulan ke depan.Uang itu fantastis dan begitu juga pekerjaannya.Sejujurnya tidak punya kata yang buruk untuk dikatakan tentang perusahaan."
Positif,"Gaji yang bagus, jam yang menyenangkan, rekan kerja yang hebat, manajemen yang hebat! 

Jika Anda melakukan seperti yang diminta dan berkontribusi pada tim ALDI memiliki banyak hal untuk ditawarkan.Ini sangat berorientasi pada kerja tim dan jika Anda membantu rekan kerja Anda dan catok Vise semuanya berfungsi sebagaimana mestinya.Tautan yang lemah dengan cepat ditunjukkan meskipun mereka mengkompensasi starter baru dengan memiliki anggota tim tambahan selama seminggu atau lebih memotong slack.

Bayinya baik -baik saja, tetapi Anda bekerja keras untuk itu.Pergeseran biasanya 6,8 dan 10 jam mulai dari jam 6 pagi pada shift awal atau sampai jam 9 malam. 

Hari -hari terdiri dari pengiriman kerja (utama, roti, chiller, freezer dan produk) produk bisa menjadi kerja keras pada pukul 6 pagi, izinkan saya memberi tahu Anda!Bekerja sampai tidak seperti yang lain.Anda memindai secepat mungkin selama berjam -jam sementara mengingat buah, sayuran, dan berbagai bilangan produk lainnya.Lebih mudah daripada kedengarannya saat Anda mengambil angka dengan cepat di tempat kerja.Lalu ada carding yang pada dasarnya membangkitkan apa yang tersisa dalam kotak dan mengatur ulang rak dan memasukkan kartu di pemadat.Lalu ada pembersihan pada shift akhir.

Asalkan Anda menunjukkan nilai Anda di lantai toko, Anda akan menemukan diri Anda lebih sedikit.


Kontrak minimum 20 jam tetapi saya biasanya rata-rata 30-35 per minggu.Anda mendapat satu hari Sabtu, satu hari Minggu, satu akhir pekan penuh, dan bekerja satu akhir pekan penuh per bulan ditambah hari libur dalam seminggu.Tidak ada keluhan."
Positif,"Bayar dengan baik, prospek karier yang baik hingga manajer toko."
Negatif,"Kembali pekerjaan yang melanggar jika Anda mungil, jangan pernah menyelesaikan shift tepat waktu dan diharapkan untuk tinggal untuk menyelesaikan pekerjaan yang diberikan dengan rentang waktu yang tidak realistis dan tanpa bayaran!Saya diberitahu untuk membuat rencana untuk kehidupan rumah tangga saya jika mereka membutuhkan saya untuk bertahan setelah shift saya"
Positif,"Adil, jujur, tidak ada manajemen sampah.Bisnis sedang booming jadi ini waktu yang sangat menyenangkan untuk bekerja untuk Aldi"
Positif,"Gaji, cara bisnis beroperasi, tantangan harian bersama dengan kebebasan untuk memutuskan cara terbaik untuk menyelesaikannya.

Harapan hitam dan putih yang jujur.Memberikan seperti yang diminta dan ada peluang untuk semua. 

Pengetahuan tentang keamanan kerja yang sangat kuat. 

Acara yang sibuk diisi hari, setiap hari!Tidak ada waktu untuk bosan!"
Positif,"Upah yang baik, variasi peran dan tugas yang baik.Anda dengan cepat mendapatkan pengetahuan yang baik tentang semua aspek toko."
Negatif,"Mulai jam 4 pagi, membongkar 10 palet sendiri dalam 4 jam dan diharapkan untuk tetap tidak dibayar untuk menyelesaikannya.Tinggal terlambat setelah jam 9 malam ketika toko tutup sampai semua pekerjaan dan pembersihan selesai, 22:50 pada Sabtu malam, belum dibayar!Mendapatkan panggilan telepon kasar dari manajer untuk membuat Anda memulai shift lebih awal."
Negatif,"Tidak ada kehidupan sosial
Manajemen mengharapkan Anda untuk mengelola cara 'aldi' yaitu hanya bersikap memerintah
Gunakan Anda sampai mereka tidak membutuhkan Anda dan kemudian Anda keluar"
Positif,"Jelas gajinya sangat murah hati tetapi ya mereka berharap Anda mendapatkannya!Toko kami adalah kelompok yang sangat dekat dan saya disambut dengan tangan terbuka.Anda mendapatkan apa yang Anda masukkan. Jika Anda menunjukkan kebaikan dan rasa hormat, Anda akan menerimanya dan menunjukkan kerja keras dan tim manajemen saya menunjukkan penghargaan dan memuji kerja keras Anda.Saya suka pekerjaan saya dan berharap untuk segera dipromosikan menjadi wakil!"
Negatif,"Jika Anda dipekerjakan sebagai asisten manajer, Anda hanya dapat dipromosikan menjadi manajer toko.Tidak ada gerakan ke atas.Posisi kemudian menjadi statis dan tidak ada prospek promosi sejak saat itu."
Positif,"Gaji besar, mobil perusahaan, manajemen senior profesional, staf yang berdedikasi di dalam toko."
Negatif,Mengintimidasi dari semua manajemen!Harapkan Anda melakukan segalanya dan memiliki seribu pasang dari tangan!Tetap terlambat setelah shift berakhir dan tidak diizinkan untuk berbicara saat bekerja !!!
Negatif,"Tidak ada istirahat, pekerjaan yang sangat sulit."
Positif,"Senang harus bekerja keras untuk uang saya!Saya suka bekerja untuk mempercepat setiap hari adalah tantangan yang menyukainya!Harus melintasi masalah hanya menyukai pekerjaan ini!Tim yang saya miliki luar biasa, kami pergi keluar setelah bekerja pada hari libur kami semua tertawa setiap hari!"
Negatif,"Bullying dengan manajemen, ancaman pekerjaan jika Anda tidak melakukan apa yang mereka berteriak.yaitu perubahan perubahan dengan hampir tidak ada pemberitahuan.Bekerja hingga 10 jam per hari dan hanya diberikan istirahat 20 menit.Tidak ada peluang promosi kecuali Anda perempuan.Lebih keras Anda bekerja semakin sedikit yang Anda dapatkan, itu telah terjadi ketika orang -orang yang berkinerja diberikan pekerjaan yang lebih baik di gudang.Manajer memperlakukan Anda seperti omong kosong dan tidak peduli sedikit tentang karyawan mereka."
Negatif,"Kurangnya penghormatan untuk karyawan, kurangnya pelatihan yang saya ikuti sebagai asisten manajer dan mengatakan kepada saya akan dilatih di toko tempat semua standar perusahaan dipenuhi.Namun ke dalam pelatihan saya, saya dibuat sadar seberapa fisik pekerjaan ini Anda diharapkan untuk mengambil berat badan melebihi apa yang dapat Anda lakukan secara fisik pelatihan tidak dipatuhi karena ada rasisme dan favoritisme yang jelas.Tidak ada rasa kepuasan pelanggan, etos kerja yang buruk.Saya akan mengatakan Aldi sekitar dua puluh tahun di belakang supermarket lain hampir seolah -olah Anda bekerja untuk negara asing itu sangat aneh dan manajemen berpikir mereka dapat berbicara dengan staf, pelanggan, dan peserta pelatihan seperti omong kosong.Tidak ada jumlah uang di dunia yang akan membuat saya bekerja seperti anjing Aldi sama sekali tidak seperti yang terjadi.Jam yang sangat tidak ramah dibandingkan dengan supermarket lainnya.Dalam sepuluh jam shift di kaki Anda sepanjang hari dan beruntung Anda jika Anda mendapatkan istirahat 15 menit.Pekerjaan terburuk yang pernah saya miliki ...."
Positif,Anda dibayar dengan baik dan sebagai lulusan.Ada banyak peluang untuk perkembangan terutama dengan pertumbuhan bisnis di iklim ekonomim saat ini.
Negatif,"Anda tidak dapat dipromosikan ke Area Manager bahkan jika Anda telah menjadi manajer toko selama 10 tahun dan merupakan yang terbaik di perusahaan, ALDI terbuka tentang ini.Anda dapat membaca gaji itu bagus tetapi dengan kontrak 48 jam untuk manajer (Anda akan bekerja 10 jam + dengan mudah) dengan mempertimbangkan hal itu, EQIV upah per jam buruk!Harapannya sangat tidak realistis dan kinerja dikelola oleh 21yo yang tidak tahu apa -apa tentang ritel dan tidak pernah memiliki pekerjaan adalah pil yang sulit untuk ditelan!Saya seorang manajer yang relatif dihormati dan saya tidak berkinerja, namun perusahaan ini akan menginginkan hati dan jiwa Anda, siap dimiliki oleh mereka.Hidup Anda akan dikonsumsi."
Negatif,"Rota bisa menjadi mimpi buruk.Pergeseran Anda dapat sangat bervariasi dari minggu ke minggu sehingga tidur dan kehidupan sosial Anda pasti akan menderita.Jika Anda seorang orang sosial dan menikmati akhir pekan reguler dan bersama teman -teman, Anda harus melupakan pekerjaan itu sekarang karena saya belum memiliki libur akhir pekan dalam beberapa bulan.Suatu pagi Anda bangun jam 3 pagi, berikutnya Anda tidak menyala sampai jam 2 siang dan seterusnya ... pada dasarnya sangat sulit untuk memiliki keteraturan apa pun di waktu luang Anda karena rotasnya sangat bervariasi dan tidak konsisten. 

Ada juga banyak variasi dalam cara staf diperlakukan.Tuan -tuan diharapkan untuk melakukan lebih banyak pengangkatan, lebih banyak pekerjaan fisik dan itu baik -baik saja, tentu saja, tetapi mereka juga biasanya orang terakhir yang mendapatkan waktu istirahat yang mereka inginkan.Di toko saya, terlalu mudah bagi seorang gadis untuk memukul kelopak matanya dan mendapatkan waktu libur apa pun yang dia suka.Demikian juga anggota staf tertentu tampaknya lolos dengan pembunuhan.Mereka terus -menerus di bawah kinerja (membuat lebih banyak pekerjaan untuk sisanya) tanpa dampak. 

Sebenarnya tidak ada banyak ruang untuk kemajuan.Paling -paling, setelah bertahun -tahun mencangkok tanpa pamrih, Anda dapat membuat jalan ke manajer toko.Uang pada level itu bagus, ya, tetapi sebagai imbalan Anda pada dasarnya harus tinggal di toko.Jika Anda memiliki ambisi untuk membuatnya menjadi manajemen atas, Anda perlu mempertimbangkan kembali karena tidak ada peluang bagi karyawan toko untuk maju ke tingkat itu.Mereka lebih suka mempekerjakan orang langsung dari universitas.

Keluhan kecil terakhir saya adalah seragam.Pakaiannya bagus dan bagus tetapi pria harus dicukur bersih.Ini mungkin tidak mengganggu Anda sama sekali tetapi bagi saya tampaknya kuno dan diskriminatif.Tidak ada dasar kebersihan untuk itu.Anda diizinkan rambut wajah karena alasan agama, yang hampir lebih menghina.Jenggot baik -baik saja, pada dasarnya, selama Anda adalah ras dan warna kulit yang tepat."
Negatif,"Saya bekerja sebagai asisten toko di toko Aldi di Inggris Timur Laut.Saya telah bekerja untuk pengecer lain dan Aldi sejauh ini adalah yang terburuk.
Ketika saya mulai dengan perusahaan, saya bekerja 40 jam per minggu, apa yang saya inginkan, tetapi dalam beberapa bulan terakhir jam saya telah dipotong menjadi sekitar 24 jam per minggu, yang berarti bahwa pengeluaran saya lebih dari dibayar pulang.Ini terutama karena kampanye perekrutan massal baru -baru ini di mana banyak toko telah menggandakan jumlah staf mereka, tetapi dipekerjakan terlalu cepat dan mengambil banyak staf yang miskin dan tidak kompeten.
Manajemen tidak peduli dengan staf, jika Anda mempertanyakan kebijakan apa pun yang Anda tertutup dan kartu Anda ditandai sebagai pengadu, yang berarti bahwa Anda mendapatkan waktu yang lebih jauh dan memiliki kemungkinan promosi.
Toko -toko benar -benar dijalankan oleh manajer area yang biasanya berusia 21 tahun baru keluar dari uni, yang tidak tahu tentang ritel dan tidak pernah memiliki pekerjaan.Mereka tidak memiliki keterampilan personel dan tidak tahu cara memperlakukan atau berbicara dengan staf.
ALDI akan memotong jam staf segera, tetapi masih berharap Anda 100% fleksibel dan akan Rota Anda akan pergi dan kemudian memanggil Anda untuk bekerja pada menit terakhir.Mereka akan membuat Anda merasa bersalah dalam perjalanan Anda dan Anda akan pergi ke bagian bawah daftar lembur jika Anda tidak bisa atau tidak akan datang untuk bekerja.
Sedotan terakhir datang minggu ini ketika staf diberitahu bahwa mereka tidak akan diizinkan parkir di tempat parkir mobil selama periode Natal 2 minggu, yang berarti staf sekarang harus menemukan tempat parkir di tempat lain di daerah yang sangat run dan harus harusBerjalanlah jauh ke toko.Aldi benar -benar tidak peduli tentang orang -orang mereka."
